pickup_date,comp_dist_bins,post_treatment_time_dummy,Count
2010-01-23,33.0,0,4
2010-01-26,33.0,0,6
2010-01-19,33.0,0,5
2010-01-24,33.0,0,5
2010-01-12,33.0,0,3
2010-01-26,33.0,1,7
2010-01-11,33.0,1,5
2010-01-23,33.0,1,4
2010-01-08,33.0,1,3
2010-01-15,33.0,0,3
2010-01-22,33.0,1,2
2010-01-24,33.0,1,4
2010-01-02,33.0,1,7
2010-01-17,33.0,0,2
2010-01-30,33.0,0,2
2010-01-31,33.0,1,2
2010-02-01,2.0,1,10383
2010-02-01,4.0,0,6473
2010-02-01,8.0,1,1924
2010-02-02,1.0,1,8677
2010-02-02,2.0,0,11743
2010-02-02,2.0,1,11692
2010-02-03,4.0,1,6251
2010-02-04,0.5,0,2631
2010-02-04,0.5,1,2718
2010-02-04,1.0,0,8667
2010-02-04,2.0,0,11940
2010-02-04,2.0,1,11470
2010-02-04,4.0,0,7142
2010-02-04,4.0,1,6529
2010-02-04,32.0,1,528
2010-02-05,0.5,1,2817
2010-02-05,1.0,0,7988
2010-02-05,2.0,0,11241
2010-02-05,2.0,1,11851
2010-02-05,4.0,0,6919
2010-02-05,4.0,1,6912
2010-02-05,8.0,1,2183
2010-02-06,0.0,0,75
2010-02-06,0.25,1,224
2010-02-06,0.5,0,1663
2010-02-06,1.0,0,5759
2010-02-06,1.0,1,7827
2010-02-06,2.0,0,8227
2010-02-06,2.0,1,11640
2010-02-06,4.0,0,5718
2010-02-06,4.0,1,7919
2010-02-06,8.0,0,1800
2010-02-06,8.0,1,2280
2010-02-06,16.0,0,580
2010-02-06,32.0,1,303
2010-02-07,0.0,1,107
2010-02-07,0.25,1,219
2010-02-07,0.5,0,1535
2010-02-07,1.0,0,4898
2010-02-07,1.0,1,6665
2010-02-07,2.0,0,7438
2010-02-07,2.0,1,10456
2010-02-07,4.0,0,5649
2010-02-07,4.0,1,7417
2010-02-07,8.0,1,2362
2010-02-07,16.0,1,1257
2010-02-08,0.0,0,236
2010-02-08,0.0,1,244
2010-02-08,0.25,0,635
2010-02-08,0.25,1,581
2010-02-08,0.5,0,3929
2010-02-08,0.5,1,3910
2010-02-08,1.0,0,15660
2010-02-08,1.0,1,15118
2010-02-08,2.0,0,22673
2010-02-08,2.0,1,21296
2010-02-08,4.0,0,14146
2010-02-08,4.0,1,12274
2010-02-08,8.0,0,4684
2010-02-08,8.0,1,4072
2010-02-08,16.0,0,2781
2010-02-08,16.0,1,2625
2010-02-08,32.0,0,648
2010-02-08,32.0,1,1035
2010-02-09,0.0,0,239
2010-02-09,0.0,1,267
2010-02-09,0.25,0,628
2010-02-09,0.25,1,707
2010-02-09,0.5,0,4103
2010-02-09,0.5,1,4450
2010-02-09,1.0,0,16883
2010-02-09,1.0,1,16529
2010-02-09,2.0,0,24782
2010-02-09,2.0,1,23834
2010-02-09,4.0,0,15003
2010-02-09,4.0,1,13470
2010-02-09,8.0,0,5056
2010-02-09,8.0,1,4565
2010-02-09,16.0,0,2381
2010-02-09,16.0,1,3025
2010-02-09,32.0,0,545
2010-02-09,32.0,1,1128
2010-02-10,0.0,0,163
2010-02-10,0.0,1,132
2010-02-10,0.25,0,321
2010-02-10,0.25,1,363
2010-02-10,0.5,0,2547
2010-02-10,0.5,1,2729
2010-02-10,1.0,0,10677
2010-02-10,1.0,1,11181
2010-02-10,2.0,0,14477
2010-02-10,2.0,1,14463
2010-02-10,4.0,0,8350
2010-02-10,4.0,1,8019
2010-02-10,8.0,0,2220
2010-02-10,8.0,1,1985
2010-02-10,16.0,0,446
2010-02-10,16.0,1,392
2010-02-10,32.0,0,175
2010-02-10,32.0,1,252
2010-02-11,0.0,0,249
2010-02-11,0.0,1,356
2010-02-11,0.25,0,498
2010-02-11,0.25,1,726
2010-02-11,0.5,0,3788
2010-02-11,0.5,1,3967
2010-02-11,1.0,0,15842
2010-02-11,1.0,1,15806
2010-02-11,2.0,0,23051
2010-02-11,2.0,1,22492
2010-02-11,4.0,0,13581
2010-02-11,4.0,1,12747
2010-02-11,8.0,0,4482
2010-02-11,8.0,1,4067
2010-02-11,16.0,0,2462
2010-02-11,16.0,1,2947
2010-02-11,32.0,0,749
2010-02-11,32.0,1,1351
2010-02-12,0.0,0,240
2010-02-12,0.0,1,274
2010-02-12,0.25,0,723
2010-02-12,0.25,1,839
2010-02-12,0.5,0,4265
2010-02-12,0.5,1,4639
2010-02-12,1.0,0,17422
2010-02-12,1.0,1,17192
2010-02-12,2.0,0,25526
2010-02-12,2.0,1,24962
2010-02-12,4.0,0,15607
2010-02-12,4.0,1,14766
2010-02-12,8.0,0,5211
2010-02-12,8.0,1,4676
2010-02-12,16.0,0,2710
2010-02-12,16.0,1,3421
2010-02-12,32.0,0,770
2010-02-12,32.0,1,1327
2010-02-13,0.0,0,196
2010-02-13,0.0,1,232
2010-02-13,0.25,0,415
2010-02-13,0.25,1,618
2010-02-13,0.5,0,2857
2010-02-13,0.5,1,3912
2010-02-13,1.0,0,11879
2010-02-13,1.0,1,16099
2010-02-13,2.0,0,19906
2010-02-13,2.0,1,26959
2010-02-13,4.0,0,14819
2010-02-13,4.0,1,19121
2010-02-13,8.0,0,4788
2010-02-13,8.0,1,5520
2010-02-13,16.0,0,1767
2010-02-13,16.0,1,2048
2010-02-13,32.0,0,652
2010-02-13,32.0,1,985
2010-02-13,33.0,1,2
2010-02-14,0.0,0,175
2010-02-14,0.0,1,236
2010-02-14,0.25,0,322
2010-02-14,0.25,1,549
2010-02-14,0.5,0,2189
2010-02-14,0.5,1,3272
2010-02-14,1.0,0,9911
2010-02-14,1.0,1,14812
2010-02-14,2.0,0,17403
2010-02-14,2.0,1,25490
2010-02-14,4.0,0,13118
2010-02-14,4.0,1,18704
2010-02-14,8.0,0,4593
2010-02-14,8.0,1,5785
2010-02-14,16.0,0,1954
2010-02-14,16.0,1,2416
2010-02-14,32.0,0,527
2010-02-14,32.0,1,1025
2010-02-14,33.0,1,8
2010-02-15,0.0,0,202
2010-02-15,0.0,1,285
2010-02-15,0.25,0,398
2010-02-15,0.25,1,567
2010-02-15,0.5,0,2472
2010-02-15,0.5,1,3019
2010-02-15,1.0,0,11364
2010-02-15,1.0,1,13739
2010-02-15,2.0,0,19501
2010-02-15,2.0,1,23426
2010-02-15,4.0,0,13021
2010-02-15,4.0,1,15685
2010-02-15,8.0,0,4172
2010-02-15,8.0,1,4664
2010-02-15,16.0,0,2626
2010-02-15,16.0,1,3243
2010-02-15,32.0,0,759
2010-02-15,32.0,1,1380
2010-02-15,33.0,0,7
2010-02-16,0.0,0,290
2010-02-16,0.0,1,297
2010-02-16,0.25,0,668
2010-02-16,0.25,1,707
2010-02-16,0.5,0,4449
2010-02-16,0.5,1,4795
2010-02-16,1.0,0,18265
2010-02-16,1.0,1,17919
2010-02-16,2.0,0,26457
